user_id,group,revenue
1,control,11.35
2,treatment,107.15
3,control,10.62
4,treatment,58.01
5,treatment,17.37
6,control,5.05
7,control,26.14
8,treatment,12.94
9,control,42.23
10,control,0.0
11,treatment,8.26
12,control,35.23
13,control,64.5
14,treatment,26.89
15,control,14.1
16,treatment,193.32
17,treatment,2.66
18,treatment,16.76
19,control,9.81
20,control,0.0
21,control,15.63
22,control,25.96
23,control,0.0
24,control,2.98
25,control,0.0
26,treatment,24.34
27,control,29.73
28,control,8.37
29,treatment,13.98
30,control,19.28
31,treatment,21.93
32,treatment,24.83
33,treatment,19.0
34,control,15.63
35,control,11.76
36,treatment,32.25
37,control,9.75
38,control,50.17
39,treatment,34.78
40,treatment,21.61
41,control,4.96
42,control,118.85
43,treatment,9.51
44,treatment,14.16
45,control,15.13
46,control,18.88
47,treatment,6.73
48,treatment,0.0
49,control,22.38
50,treatment,64.72
51,control,9.11
52,treatment,26.94
53,control,28.39
54,control,29.85
55,treatment,62.0
56,control,0.0
57,treatment,0.0
58,treatment,0.0
59,treatment,138.45
60,treatment,24.69
61,treatment,0.0
62,treatment,10.03
63,treatment,0.0
64,treatment,91.95
65,treatment,11.74
66,treatment,31.32
67,control,0.0
68,treatment,14.26
69,treatment,20.12
70,control,16.78
71,control,36.32
72,treatment,0.0
73,control,12.55
74,control,17.22
75,treatment,63.7
76,control,51.01
77,treatment,12.8
78,control,0.0
79,treatment,17.0
80,control,2.4
81,control,0.0
82,treatment,33.54
83,treatment,7.15
84,treatment,0.0
85,treatment,54.23
86,control,7.62
87,control,8.91
88,treatment,25.21
89,treatment,12.68
90,treatment,5.64
91,treatment,48.15
92,control,20.16
93,treatment,26.12
94,control,34.91
95,treatment,27.14
96,treatment,50.19
97,control,20.48
98,control,22.65
99,treatment,11.72
100,treatment,0.0
101,control,0.0
102,treatment,0.0
103,treatment,22.75
104,control,14.81
105,treatment,0.0
106,control,13.9
107,control,19.24
108,control,12.81
109,treatment,0.0
110,treatment,10.65
111,control,0.0
112,control,46.81
113,control,6.46
114,control,6.66
115,control,14.18
116,control,23.62
117,control,7.43
118,treatment,11.36
119,treatment,39.77
120,control,29.23
121,control,12.91
122,control,60.05
123,control,21.31
124,treatment,24.04
125,treatment,19.51
126,control,15.98
127,treatment,0.0
128,treatment,29.99
129,treatment,7.3
130,control,11.9
131,control,40.95
132,treatment,16.41
133,control,0.0
134,treatment,230.57
135,control,0.0
136,control,43.21
137,treatment,0.0
138,treatment,30.34
139,control,8.09
140,control,12.54
141,control,5.48
142,control,22.14
143,control,0.0
144,control,23.32
145,control,0.0
146,treatment,21.42
147,treatment,14.26
148,control,0.0
149,control,23.42
150,control,17.47
151,control,7.3
152,control,7.09
153,control,18.81
154,control,21.66
155,treatment,40.24
156,treatment,22.63
157,treatment,25.1
158,control,23.53
159,treatment,14.39
160,control,9.47
161,treatment,13.49
162,control,8.4
163,treatment,3.66
164,control,12.07
165,treatment,56.27
166,treatment,49.83
167,treatment,0.0
168,treatment,0.0
169,treatment,57.2
170,control,0.0
171,treatment,23.91
172,control,0.0
173,treatment,25.88
174,treatment,17.95
175,control,16.99
176,treatment,7.17
177,control,7.49
178,control,0.0
179,treatment,23.66
180,treatment,6.51
181,treatment,13.42
182,control,0.0
183,control,26.16
184,treatment,20.07
185,control,30.91
186,treatment,17.64
187,control,2.16
188,control,8.52
189,control,14.25
190,control,4.54
191,control,6.79
192,treatment,6.35
193,treatment,27.83
194,control,8.24
195,treatment,4.64
196,control,8.24
197,control,154.37
198,control,0.0
199,treatment,3.45
200,control,0.0
201,treatment,9.34
202,treatment,30.28
203,control,15.27
204,treatment,0.0
205,treatment,15.25
206,control,0.0
207,treatment,16.42
208,treatment,60.37
209,control,54.07
210,treatment,17.35
