user_id,group,revenue
1,control,14.18
2,control,48.06
3,control,37.81
4,control,12.63
5,control,120.05
6,control,11.35
7,control,17.7
8,control,28.03
9,control,97.43
10,control,8.03
11,control,1.14
12,control,27.01
13,control,2.75
14,control,15.59
15,control,4.3
16,control,37.46
17,control,35.98
18,control,62.82
19,control,27.74
20,control,6.3
21,control,9.8
22,control,11.7
23,control,26.46
24,control,9.17
25,control,11.82
26,control,83.63
27,control,13.48
28,control,276.41
29,control,226.76
30,control,0.62
31,control,0.51
32,control,48.87
33,control,1.27
34,control,15.23
35,control,6.45
36,control,29.27
37,control,120.69
38,control,2.68
39,control,202.44
40,control,6.54
41,control,0.84
42,control,5.41
43,control,14.6
44,control,6.05
45,control,2.7
46,control,5.69
47,control,2.5
48,control,285.62
49,control,9.96
50,control,21.66
51,control,106.58
52,control,65.44
53,control,2.61
54,control,3.52
55,control,38.27
56,control,22.53
57,control,48.12
58,control,1.56
59,control,55.24
60,control,120.03
61,control,18.5
62,control,3.26
63,control,34.65
64,control,5.98
65,control,30.45
66,control,6.07
67,control,1.72
68,control,16.65
69,control,78.62
70,control,1.92
71,control,72.66
72,control,6.06
73,control,78.59
74,control,128.47
75,control,295.09
76,control,103.67
77,control,138.17
78,control,4.21
79,control,5.8
80,control,2.86
81,control,1.3
82,control,31.11
83,control,5.43
84,control,34.01
85,control,31.05
86,control,222.13
87,control,9.61
88,control,1.57
89,control,165.31
90,control,12.82
91,control,62.58
92,control,23.33
93,control,9.79
94,control,2.36
95,control,37.75
96,control,19.63
97,control,13.85
98,control,167.65
99,control,119.17
100,control,7.22
101,control,6.06
102,control,0.8
103,control,94.99
104,control,27.3
105,control,26.89
106,control,1.34
107,control,7.44
108,control,193.85
109,control,186.47
110,control,3.75
111,control,14.24
112,control,32.85
113,control,10.56
114,control,2.58
115,control,55.04
116,control,20.46
117,control,9.79
118,control,13.87
119,control,6.55
120,control,23.4
121,control,1.72
122,control,17.59
123,control,278.67
124,control,4.23
125,control,65.59
126,control,7.68
127,control,8.55
128,control,103.0
129,control,46.66
130,control,14.99
131,control,267.85
132,control,0.11
133,control,2.48
134,control,4.72
135,control,27.09
136,control,164.24
137,control,9.74
138,control,6.9
139,control,48.19
140,control,167.92
141,control,18.5
142,control,12.33
143,control,6.81
144,control,8.46
145,control,15.51
146,control,791.28
147,control,8.55
148,control,7.82
149,control,0.83
150,control,29.57
151,control,0.14
152,control,2.02
153,control,478.85
154,control,19.61
155,control,164.31
156,control,0.44
157,control,34.68
158,control,4.7
159,control,9.51
160,control,32.33
161,control,76.38
162,control,1.87
163,control,362.03
164,control,113.46
165,control,34.25
166,control,23.26
167,control,2.02
168,control,2.48
169,control,1.51
170,control,2.11
171,control,223.44
172,control,27.6
173,control,280.72
174,control,23.28
175,control,1371.63
176,control,76.39
177,control,9.28
178,control,0.96
179,control,28.88
180,control,0.47
181,control,5.65
182,control,27.14
183,control,22.91
184,control,25.77
185,control,14.98
186,control,3.3
187,control,22.84
188,control,50.66
189,control,29.97
190,control,67.25
191,control,16.05
192,control,67.73
193,control,232.0
194,control,1.05
195,control,725.56
196,control,167.38
197,control,29.85
198,control,12.33
199,control,63.18
200,control,1.66
201,control,5.6
202,control,3.71
203,control,2.65
204,control,207.23
205,control,321.8
206,control,362.1
207,control,183.34
208,control,12.01
209,control,226.6
210,control,7.99
211,control,0.65
212,control,5.84
213,control,53.68
214,control,1.96
215,control,7.09
216,control,2.1
217,control,254.1
218,control,233.49
219,control,21.59
220,control,8.68
221,control,0.07
222,control,6.83
223,control,0.75
224,control,16.22
225,control,138.83
226,control,12.49
227,control,68.25
228,control,38.56
229,control,15.94
230,control,221.71
231,control,142.51
232,control,19.01
233,control,3.28
234,control,10.28
235,control,6.92
236,control,5.05
237,control,1.84
238,control,17.45
239,control,114.99
240,control,29.8
241,control,4.05
242,control,0.68
243,control,82.29
244,control,13.71
245,control,0.06
246,control,66.13
247,control,31.32
248,control,6.35
249,control,13.55
250,control,4.72
251,control,4.04
252,control,8.02
253,control,5.09
254,control,82.46
255,control,167.76
256,control,72.84
257,control,14.74
258,control,110.57
259,control,282.46
260,control,19.73
261,control,46.56
262,control,10.03
263,control,3.33
264,control,45.92
265,control,15.15
266,control,119.13
267,control,88.13
268,control,1037.01
269,control,86.25
270,control,171.97
271,control,65.0
272,control,183.04
273,control,240.84
274,control,38.23
275,control,4.84
276,control,7.8
277,control,0.75
278,control,19.96
279,control,13.08
280,control,20.3
281,control,492.64
282,control,63.17
283,control,98.53
284,control,445.95
285,control,33.6
286,control,43.75
287,control,44.92
288,control,9.89
289,control,3.31
290,control,160.41
291,control,4.85
292,control,81.65
293,control,41.15
294,control,27.6
295,control,0.4
296,control,6.42
297,control,7.13
298,control,4.24
299,control,11.91
300,control,7.95
301,control,1.11
302,control,169.91
303,control,22.08
304,control,16.23
305,control,1.14
306,control,38.56
307,control,12.34
308,control,9.95
309,control,230.01
310,control,269.82
311,control,18.39
312,control,0.51
313,control,140.29
314,control,0.78
315,control,11.8
316,control,89.52
317,control,38.63
318,control,13.23
319,control,109.13
320,control,8.66
321,control,5.04
322,control,10.29
323,control,4.17
324,control,5.32
325,control,11.24
326,control,14.99
327,control,26.66
328,control,8.53
329,control,19.74
330,control,269.2
331,control,3.79
332,control,162.73
333,control,13.77
334,control,1.99
335,control,227.97
336,control,12.11
337,control,39.15
338,control,1.23
339,control,114.75
340,control,22.18
341,control,169.08
342,control,11.37
343,control,19.41
344,control,46.22
345,control,14.05
346,control,28.5
347,control,6.71
348,control,84.88
349,control,14.17
350,control,296.57
351,control,2.67
352,control,359.76
353,control,34.56
354,control,42.8
355,control,29.81
356,control,24.48
357,control,36.6
358,control,15.56
359,control,6.06
360,control,31.35
361,control,16.36
362,control,136.38
363,control,335.08
364,control,178.19
365,control,4.95
366,control,11.1
367,control,15.43
368,control,9.36
369,control,26.8
370,control,13.81
371,control,7.38
372,control,191.47
373,control,33.0
374,control,1.27
375,control,62.96
376,control,98.95
377,control,24.92
378,control,7.19
379,control,3.94
380,control,72.48
381,control,6.46
382,control,2.52
383,control,16.21
384,control,14.82
385,control,2.23
386,control,14.53
387,control,0.71
388,control,14.87
389,control,97.5
390,control,6.59
391,control,5.82
392,control,61.2
393,control,22.28
394,control,13.13
395,control,205.06
396,control,2.41
397,control,23.41
398,control,90.82
399,control,13.78
400,control,7.22
401,control,4.15
402,control,2.77
403,control,3.76
404,control,90.12
405,control,33.21
406,control,2.6
407,control,233.32
408,control,6.16
409,control,97.83
410,control,19.24
411,control,0.06
412,control,4.54
413,control,68.11
414,control,10.29
415,control,112.33
416,control,39.93
417,control,236.33
418,control,2.38
419,control,428.88
420,control,16.61
421,control,23.92
422,control,68.55
423,control,54.99
424,control,81.29
425,control,2.41
426,control,2.34
427,control,63.7
428,control,24.44
429,control,30.28
430,control,20.53
431,control,23.71
432,control,4.55
433,control,12.84
434,control,8.11
435,control,273.06
436,control,439.56
437,control,26.36
438,control,10.97
439,control,13.54
440,control,6.61
441,control,40.47
442,control,460.96
443,control,7.49
444,control,108.74
445,control,429.09
446,control,3.4
447,control,35.16
448,control,6.69
449,control,40.09
450,control,19.39
451,control,690.26
452,control,41.55
453,control,0.76
454,control,54.95
455,control,248.76
456,control,40.5
457,control,1.35
458,control,22.44
459,control,6.25
460,control,18.02
461,control,7.65
462,control,69.97
463,control,32.58
464,control,0.01
465,control,1.23
466,control,29.24
467,control,49.51
468,control,32.05
469,control,187.23
470,control,5.73
471,control,53.76
472,control,13.39
473,control,173.31
474,control,162.44
475,control,126.79
476,control,18.56
477,control,42.84
478,control,6.81
479,control,18.1
480,control,8.76
481,control,0.4
482,control,88.92
483,control,2.05
484,control,13.98
485,control,273.43
486,control,7.3
487,control,47.89
488,control,133.55
489,control,3.42
490,control,4.26
491,control,15.14
492,control,16.92
493,control,3.3
494,control,7.14
495,control,6.74
496,control,2.68
497,control,2.99
498,control,34.45
499,control,1.63
500,control,7.03
501,control,1.72
502,control,10.89
503,control,17.47
504,control,8.96
505,control,4.86
506,control,16.0
507,control,4.37
508,control,26.96
509,control,4.66
510,control,70.15
511,control,27.96
512,control,42.02
513,control,62.96
514,control,72.38
515,control,41.43
516,control,82.98
517,control,31.08
518,control,98.13
519,control,30.18
520,control,25.73
521,control,0.02
522,control,34.28
523,control,101.85
524,control,25.35
525,control,212.91
526,control,6.05
527,control,5.54
528,control,6.46
529,control,31.55
530,control,7.57
531,control,9.39
532,control,0.87
533,control,9.38
534,control,4.35
535,control,274.8
536,control,349.52
537,control,5.19
538,control,80.02
539,control,275.82
540,control,6.07
541,control,17.29
542,control,2.98
543,control,1.26
544,control,4.48
545,control,110.85
546,control,3.8
547,control,76.46
548,control,182.08
549,control,6.47
550,control,74.73
551,control,7.03
552,control,92.39
553,control,41.64
554,control,18.82
555,control,77.83
556,control,260.2
557,control,149.71
558,control,8.22
559,control,19.91
560,control,28.27
561,control,55.29
562,control,478.31
563,control,10.27
564,control,43.32
565,control,5.88
566,control,21.57
567,control,12.21
568,control,124.4
569,control,18.54
570,control,27.59
571,control,7.11
572,control,15.11
573,control,8.7
574,control,0.36
575,control,7.2
576,control,8.21
577,control,105.67
578,control,15.73
579,control,3.26
580,control,8.77
581,control,1.94
582,control,32.47
583,control,139.25
584,control,24.01
585,control,5.36
586,control,0.83
587,control,77.52
588,control,34.27
589,control,178.9
590,control,62.49
591,control,15.5
592,control,8.7
593,control,15.84
594,control,16.43
595,control,46.62
596,control,277.08
597,control,3.42
598,control,11.17
599,control,2.36
600,control,5.45
601,control,6.8
602,control,8.11
603,control,24.2
604,control,0.14
605,control,33.65
606,control,10.94
607,control,14.3
608,control,86.64
609,control,13.65
610,control,7.56
611,control,2.18
612,control,14.56
613,control,2.25
614,control,2.37
615,control,86.93
616,control,10.85
617,control,24.61
618,control,1.03
619,control,109.81
620,control,181.32
621,control,3.03
622,control,21.94
623,control,7.17
624,control,81.24
625,control,1.37
626,control,7.9
627,control,4.66
628,control,185.62
629,control,3.67
630,control,13.72
631,control,3.73
632,control,15.71
633,control,250.28
634,control,14.67
635,control,139.31
636,control,34.73
637,control,24.07
638,control,12.28
639,control,26.22
640,control,11.38
641,control,0.1
642,control,10.8
643,control,104.63
644,control,483.73
645,control,18.37
646,control,2.43
647,control,279.51
648,control,18.13
649,control,10.11
650,control,134.4
651,control,33.69
652,control,5.27
653,control,63.4
654,control,182.29
655,control,42.11
656,control,4.86
657,control,43.83
658,control,222.61
659,control,2.38
660,control,25.37
661,control,343.98
662,control,0.43
663,control,61.14
664,control,53.05
665,control,0.94
666,control,1.06
667,control,2.02
668,control,25.84
669,control,336.12
670,control,13.88
671,control,69.87
672,control,10.11
673,control,21.29
674,control,7.85
675,control,3.81
676,control,6.88
677,control,19.08
678,control,1.23
679,control,143.28
680,control,2.8
681,control,110.89
682,control,239.61
683,control,261.38
684,control,7.92
685,control,10.39
686,control,11.15
687,control,2.57
688,control,16.62
689,control,41.8
690,control,23.32
691,control,179.87
692,control,48.73
693,control,44.31
694,control,8.13
695,control,34.14
696,control,0.93
697,control,4.08
698,control,3.84
699,control,1.13
700,control,253.39
701,control,37.14
702,control,23.79
703,control,259.93
704,control,9.16
705,control,46.25
706,control,1.22
707,control,12.72
708,control,11.49
709,control,46.57
710,control,42.51
711,control,5.39
712,control,50.43
713,control,10.21
714,control,19.53
715,control,40.04
716,control,369.98
717,control,16.2
718,control,327.24
719,control,11.22
720,control,24.38
721,control,29.05
722,control,3.21
723,control,154.87
724,control,9.68
725,control,126.31
726,control,31.39
727,control,18.74
728,control,233.36
729,control,26.28
730,control,20.62
731,control,3.52
732,control,366.9
733,control,184.03
734,control,0.78
735,control,179.4
736,control,1.79
737,control,145.45
738,control,14.88
739,control,30.03
740,control,28.05
741,control,75.08
742,control,122.22
743,control,2.81
744,control,83.6
745,control,2.41
746,control,77.7
747,control,41.12
748,control,9.48
749,control,9.49
750,control,3.92
751,control,98.27
752,control,1.65
753,control,130.08
754,control,32.31
755,control,9.73
756,control,113.16
757,control,6.48
758,control,19.34
759,control,120.63
760,control,9.08
761,control,4.06
762,control,208.39
763,control,37.45
764,control,82.92
765,control,13.79
766,control,73.96
767,control,326.32
768,control,73.53
769,control,213.17
770,control,25.21
771,control,117.38
772,control,26.62
773,control,6.23
774,control,9.5
775,control,218.71
776,control,22.95
777,control,12.46
778,control,55.71
779,control,1.45
780,control,16.69
781,control,296.19
782,control,1.19
783,control,0.68
784,control,41.03
785,control,27.57
786,control,15.65
787,control,11.57
788,control,2.29
789,control,1.95
790,control,18.0
791,control,191.84
792,control,24.81
793,control,52.54
794,control,173.18
795,control,57.11
796,control,1.96
797,control,226.04
798,control,302.36
799,control,1.7
800,control,11.92
801,control,44.36
802,control,9.56
803,control,1.92
804,control,17.82
805,control,48.84
806,control,48.6
807,control,0.91
808,control,9.89
809,control,20.35
810,control,2.53
811,control,505.18
812,control,54.87
813,control,7.32
814,control,4.38
815,control,42.01
816,control,18.8
817,control,40.33
818,control,62.2
819,control,9.45
820,control,203.99
821,control,91.65
822,control,0.5
823,control,50.02
824,control,1.5
825,control,39.69
826,control,201.72
827,control,23.1
828,control,26.86
829,control,6.52
830,control,44.19
831,control,0.44
832,control,2.64
833,control,9.4
834,control,14.56
835,control,9.57
836,control,10.98
837,control,17.79
838,control,0.56
839,control,6.0
840,control,9.08
841,control,186.93
842,control,9.05
843,control,7.57
844,control,4.95
845,control,204.9
846,control,2.96
847,control,1.21
848,control,33.2
849,control,396.98
850,control,1.52
851,control,136.82
852,control,252.94
853,control,23.51
854,control,11.0
855,control,178.05
856,control,3.04
857,control,0.84
858,control,21.12
859,control,2.43
860,control,27.25
861,control,20.06
862,control,8.87
863,control,8.6
864,control,1.56
865,control,92.28
866,control,1.64
867,control,26.44
868,control,9.93
869,control,127.12
870,control,126.33
871,control,0.98
872,control,44.65
873,control,27.4
874,control,14.2
875,control,11.42
876,control,30.44
877,control,2.72
878,control,5.06
879,control,7.49
880,control,27.3
881,control,2.02
882,control,23.58
883,control,0.43
884,control,4.4
885,control,65.45
886,control,9.3
887,control,8.41
888,control,76.87
889,control,106.93
890,control,14.97
891,control,0.52
892,control,21.68
893,control,57.74
894,control,51.42
895,control,2.19
896,control,42.48
897,control,145.36
898,control,592.92
899,control,119.0
900,control,26.58
901,control,14.4
902,control,74.96
903,control,280.01
904,control,19.39
905,control,22.47
906,control,7.82
907,control,12.29
908,control,50.23
909,control,57.29
910,control,85.29
911,control,9.9
912,control,1.79
913,control,26.23
914,control,0.53
915,control,5.67
916,control,0.61
917,control,83.15
918,control,99.46
919,control,11.92
920,control,8.89
921,control,67.47
922,control,1.87
923,control,1.53
924,control,17.49
925,control,141.15
926,control,334.86
927,control,276.06
928,control,13.88
929,control,12.26
930,control,0.39
931,control,42.41
932,control,11.55
933,control,1.09
934,control,4.47
935,control,2.06
936,control,158.98
937,control,10.6
938,control,134.12
939,control,20.18
940,control,310.74
941,control,618.77
